image_id,question,predicted_answer,ground_truth_answers,vqa_accuracy
106849,What kind of store are they in?,wine,wine|liquor|wint store|liquor|liquor|liquor|liquor|liquor|liquor|wine store,0.3333333333333333
337497,Are all of the elephants moving in the same direction?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
285258,Are the dogs playing?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
86582,What is the person in the background doing?,typing,watering plants|watering plants|water plant|watering|watering plants|watering plants|watering|watering plants|watering flowers|watering flowers,0.0
503412,Is there a frying pan on the top shelf in the room on the left?,no,no|no|no|no|no|no|no|no frying pan|no|no,1.0
120527,Is the boy looking at the cam?,yes,yes|no|yes|yes|yes|yes|yes|yes|yes|yes,1.0
327323,How many books?,1,0|0|0|0|0|0|0|0|0|0,0.0
145549,Is all this equipment meant for one person?,yes,no|no|no|no|no|no|no|no|no|no,0.0
436895,What is in the picture forefront?,plane,bear|plane wing|bear|bear|airplane wing|plane tail|bear|wing|clouds|bear,0.0
414201,Are these men old?,yes,yes|yes|yes|no|yes|yes|yes|yes|yes|yes,1.0
416476,Is the bear eating the bird?,no,no|no|no|no|no|no|no|no|no|no,1.0
498339,Is the train moving toward the photographer?,yes,yes|yes|no|yes|yes|yes|yes|yes|no|yes,1.0
252738,What is in the man's hand?,lp,phone|cell phone|phone|cell phone|phone|cell phone|cell phone|cell phone|phone|phone,0.0
519688,What color are her earrings?,red,gold|gold|gold|gold|gold|gold|gold|gold|gold|gold,0.0
209664,Is it raining outside?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
464018,Are these items fragile?,yes,no|no|no|no|no|yes|no|no|no|no,0.3333333333333333
307611,How many lamps are on in the room?,2,2|2|2|2|2|2|2|2|2|2,1.0
80462,Is it about to storm?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
4256,How many people are going to eat?,2,2|2|2|2|2|2|2|2|2|2,1.0
434873,Where was this picture taken?,florida,beach|beach|beach|beach|beach|beach|beach|at beach|beach|beach,0.0
504293,Is anyone sitting on the bench?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
408112,Is this a prop plane?,no,yes|yes|yes|yes|yes|no|no|yes|yes|yes,0.6666666666666666
568270,Are there any houses nearby?,no,no|no|no|no|no|no|no|no|no|no,1.0
478093,What is the name written on the airline?,air china,star alliance|star alliance|star alliance|star alliance|star alliance|star alliance|star alliance|star alliance|star alliance|star alliance,0.0
373578,How many spots on the giraffe?,1,many|130|97|222|200|100|150|100|too many|many,0.0
490280,What direction is the arrow pointing?,north,straight|up|up|straight|up|up|up|up|up|up,0.0
356863,How many airplanes are in flight?,1,1|0|1|0|0|0|0|0|1|0,1.0
477805,Does this person pose a  threat?,yes,no|no|yes|no|no|no|no|no|no|no,0.3333333333333333
481313,Why is the cat on the sofa?,watching tv,sleeping|sleeping|sleeping|cozy|sleeping|sleeping|wants to be|sleeping|sleeping|sleep,0.0
74638,Is the laptop on?,yes,yes|no|yes|yes|yes|no|yes|no|yes|yes,1.0
246878,What color shirt is he wearing?,white,green|green|green|green|green|green|green|green|green|green,0.0
533464,Are there clouds in the sky?,no,no|no|no|no|no|no|no|no|no|no,1.0
452113,What color is the man's shirt?,blue,"white|white|white|white|white, black, green|white, black, green|white|white|white|white",0.0
562243,Does the shirt have a pocket?,yes,no|no|no|no|no|no|yes|no|no|no,0.3333333333333333
549300,How many wheels are in the picture?,1,3|3|3|3|3|3|3|3|3|2,0.0
265971,What color is the tennis court?,blue,blue|blue|blue|blue|blue|blue|blue|blue|blue|blue and green,1.0
571279,How many different fruits do you see?,2,7|6|4|5|5|7|6|6|3|7,0.0
47585,What type of event is this?,wedding,wedding|wedding|wedding|wedding|wedding|marriage|wedding|wedding|wedding|wedding,1.0
435880,What is beside the refrigerator?,wall,trash can|freezer|freezer|chest freezer|freezer|freezer|deep freezer|deep freezer|freezer|fridge,0.0
193405,In which room is the child standing?,bathroom,bathroom|bathroom|bathroom|bathroom|bathroom|bathroom|bathroom|bathroom|bathroom|bathroom,1.0
11340,What is situated directly behind the elephant in the picture?,bike,wall|bike|bank|shop|bank|building|shop|bank|wall|store,0.3333333333333333
398525,What are the street names?,stop,adams and idaho|adams and idaho|adams & idaho|adams and idaho|adams and idaho|idaho and adams|adams and idaho|idaho and adams|adams and idaho|adams and idaho,0.0
167128,Are these elephants in an enclosure?,no,no|no|no|no|no|no|no|no|no|no,1.0
136285,Will this boy continue to ride horse throughout his life?,yes,maybe|no|probably|no|yes|no|yes|yes|no|no,1.0
109648,How many urinals are here?,1,4|4|4|4|4|4|4|4|4|4,0.0
43625,What is he cooking?,pizza,no|pizza|nothing|nothing|nothing|nothing|hot dogs|catching frisbee|pizza|nothing,0.6666666666666666
294437,Is the television on?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
537672,Is this an appliance store?,yes,no|no|no|no|no|no|yes|no|no|no,0.3333333333333333
7325,Are those people going to get on the bus?,yes,no|no|no|no|no|no|yes|no|maybe|no,0.3333333333333333
240379,Is this a motorcycle group?,yes,no|no|no|no|no|no|no|no|no|no,0.0
344758,What pattern is on the tablecloth?,pattern,none|stripes|white|plain|none|no pattern|striped|solid|solid|solid white,0.0
241728,Are pretzels being sold at the booth?,yes,yes|yes|no|yes|yes|yes|yes|yes|yes|yes,1.0
438426,Does the tie match the jacket?,yes,sort of|yes|no|no|yes|yes|no|no|yes|no,1.0
263359,What is keeping the horses from running away?,people,rider|riders|riders|drop off|riders|reigns|reins|they are all being rode|bridle|riders,0.0
473774,What kind of sandwich is this?,sandwich,chicken|chicken|sub|chicken|chicken|chicken|chicken|chicken|big|chicken,0.0
298649,What kind of car is it?,suv,kia|sedan|nissan sedan|nissan|old|lexus|nissan|sedan|dodge|don't know,0.0
110389,How many tracks are there?,1,1|1|1|1|2|1|2|1|1|2,1.0
224664,Is this a beach or jungle scene?,beach,beach|beach|beach|beach|beach|beach|beach|beach|beach|beach,1.0
445334,Is the child busy?,no,yes|yes|yes|yes|yes|yes|no|yes|no|no,1.0
156740,What is for sale?,cookies,bread|bread|bread|pastries|bread|bread|bread|bread|bread|bread,0.0
233365,What color is the person's shirt?,white,blue|blue|blue|blue|blue|blue|blue|blue|blue|blue,0.0
209757,Is the skater jumping an object?,no,yes|yes|yes|yes|yes|yes|no|yes|no|yes,0.6666666666666666
41279,What does it say on the pizza box?,pepperoni,checklist|dominos|toppings|can't tell|pizza|unsure|ingredients|pizza|customer|pizza,0.0
506137,What tool is this?,screwdriver,spatula|cooking utensils|cooking|spatula|spatulas|cooking wear|kitchen utensils|cooking|cooking|corkscrew,0.0
163348,Who wrote the largest book?,student,unanswerable|unknown|jesus|don't know|donaldson|author|stephen king|don't know|jack london|tolstoy,0.0
578238,How many Giraffes are there?,2,2|2|2|2|2|2|2|2|2|2,1.0
4134,Is this a wedding?,yes,no|no|no|no|no|no|no|yes|no|no,0.3333333333333333
70774,Is the image taken in color or monochrome?,monochrome,monochrome|monochrome|monochrome|monochrome|no|monochrome|color|monochrome|monochrome|yes,1.0
127971,How many workers are wearing hardhats?,1,2|2|2|2|2|2|2|2|2|2,0.0
159900,Would it seem that visibility is better than average?,yes,no|yes|yes|no|no|yes|no|no|no|yes,1.0
332869,What is the man carrying in front of the kid ??,frisbee,camera|frisbee|frisbee|frisbee|frisbee|bag|frisbee|frisbee|nothing|no man,1.0
140661,Is there are fire alarm in the picture?,no,no|no|yes|yes|no|no|yes|no|no|yes,1.0
334161,How many light bulbs are there?,2,4|4|4|4|4|4|4|4|4|4,0.0
189694,What brand are the cleaning wipes?,clorox,clorox|clorox|clorox|amax|clorox|clorox|clorox|clorox|clorox|clorox,1.0
165686,What is the meat in the left?,steak,roast|steak|steak|potato|beef|no|potato|steak|beef|broccoli,1.0
504024,Are all the animals standing straight?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
223959,What game is this?,tennis,tennis|tennis|tennis|tennis|tennis|tennis|tennis|tennis|tennis|tennis,1.0
274939,What time does the clock say?,8:30,11:55|1055|10:55|10:55|10:55|10:55|10:55|10:55|10:55|10:50,0.0
500878,Is there any bee in this dish?,yes,"no|no|no|yes, beef|no|no|no|no|yes|yes",0.6666666666666666
415748,How many people are riding the elephant?,1,1|1|1|1|1|1|1|1|1|1,1.0
128658,Are the strawberries sliced?,no,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,0.0
36333,Is the boy wearing shorts or pants?,shorts,shorts|shorts|shorts|shorts|shorts|shorts|shorts|shorts|yes|shorts,1.0
359278,What color is the grass?,green,green|green|green|green|green|green|green|green|green|green,1.0
213695,What is beneath the skateboard?,grass,rail|ramp|ramp|ramp|air|ramp|ground|ramp|ramp|ramp,0.0
220638,What is the girl's natural handedness?,right,right|right|right|right|right|right handed|left|right|right|right,1.0
96732,What is laying on the sand?,kite,kite|kites surfboard|surfboard|surf glider|kite|surfboard|windsurfing board|sailboard|kite|parachute,1.0
312289,Are there red roses?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
247519,What is the man sitting on?,chair,cart|grocery cart|luggage|luggage cart|pulling cart|baggage cart|cart|cart|shopping cart|luggage cart,0.0
116667,How many tall buildings are in this scene?,1,1|1|0|0|1|1|1|1|1|1,1.0
175867,Is this a busy area?,yes,no|no|no|no|no|no|no|no|no|no,0.0
333406,What jewelry is the woman wearing?,necklace,i can't see|earrings|watch|earrings|watch|earrings|earrings|watch|earrings|watch,0.0
466425,Are these foods found in the garden?,yes,no|no|no|no|no|yes|yes|no|no|yes,1.0
157019,What type of vehicle is turning into the road behind the walker?,car,taxi|taxi|taxi|taxi|taxi|taxi|taxi|taxi cab|taxi|taxi,0.0
245051,What does the sign say?,stop,34th street|34th street|34th street|34th street|34th street|34th street|34th street|34th street|34th street|34th street,0.0
329341,Did someone leave the water running?,no,no|no|no|no|no|no|no|no|no|no,1.0
137803,How many pictures of horses are there?,2,4|4|4|4|4|4|4|4|4|4,0.0
262161,What color is the bike on the right?,white,"green, silver, and black|green|red|green and silver|silver and sea foam green|silver|gray|silver green|gray|green",0.0
448837,What does the symbol on the shirt mean?,smile,don't know|surfs up|his shirt is dirty|it's logo|trees|sun|brand|unknown|peace|logo,0.0
251736,Are the signs on a wire?,yes,no|no|no|no|no|no|no|no|no|no,0.0
202178,How many of the items are a fruit?,1,28|13|7|5|8|20|all of them|6|8|8,0.0
229427,What does the man hold in his left hand?,wii,wii controller|wii controller|wii controller|wii nunchuck|remote|wii remote|wiimote|wii remote|wii nunchuck|controller,0.0
551241,Where is the clock?,new york,near top of tower|on building|at top of tower|on tower|tower|tower|on tower|on tower|on tower|top of building,0.0
256343,Is this enough food for more than two people?,yes,no|no|no|yes|no|yes|no|no|yes|yes,1.0
315577,Does the dog have a collar on?,yes,no|no|no|no|no|no|no|no|no|no,0.0
486087,Is the light on?,yes,no|no|no|no|no|no|no|no|no|no,0.0
8583,What is the color of the book?,red,red|red|red|red|there are several books|red|red|orange|red|brown,1.0
91474,Are these zebras posing for the photographer?,yes,no|no|no|no|no|no|no|no|no|no,0.0
83510,What is the man holding?,teddy,teddy bear|teddy bear|stuffed bear|teddy bear|teddy bear|teddy bear|teddy bear|teddy bear|teddy bear|bear,0.0
458932,Is the man e boy?,no,no|yes|no|no|no|yes|no|no|no|man,1.0
166340,Are the shadows pointing towards or away from the water?,away,away|away|away|towards|away|away from|away|away|away|away,1.0
105812,What is in the glass behind the plate?,water,water|water|water|water|water|water|water|cup|water|water,1.0
200451,The group of people in the forefront of the image is most likely what type of commune?,com,family|family|family|family|family|tourists|family|commune?|family|amish,0.0
314986,How many of these are pedal bikes?,1,1|1|1|1|1|1|2|1|1|all,1.0
45208,Is the black kitten lucky?,yes,yes|yes|no|yes|no|no|yes|no|yes|yes,1.0
519094,Is it possible that the cat is just yawning instead of angry?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
501062,Is this a vegetarian dish?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
38829,What is the brand name shown on the building in the background?,moped,coca cola|coca cola|coke|coca cola|coca cola|coke|coca-cola|coca cola|coca cola|coca cola,0.0
33759,Are there many tools used to apply this type of motion the batter is using?,yes,yes|no|no|no|no|no|no|no|no|no,0.3333333333333333
283627,What color is the dog's collar?,black,red|red|red|red|red|red|red|red|red|red,0.0
160195,What color is the man's backpack?,black,black|black|black|black|black|black|black|black|black|black,1.0
136770,What is covering the person's face?,hat,nothing|beard|hat|nothing|cap|beard|hat|hat|nothing|hat,1.0
143305,Is the man skating?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|no,1.0
448697,What time is on the clock?,12,3:25|3:20|3:25|3:25|3:25|5:20|4:25|3:25|3:25|4:35,0.0
547144,How many monitors are on?,2,3|9|2|2|3|3|3|2|8|6,1.0
376891,How many people are in the picture?,1,1|1|1|1|1|1|1|1|1|1,1.0
384092,Is there a man with headphones on?,yes,no|no|no|no|no|no|no|no|no|no,0.0
417965,What color is the car?,white,yellow|yellow|white|yellow|yellow|yellow|yellow|yellow|yellow|yellow,0.3333333333333333
92093,Why are there many bikes?,race,it's festival|parking place|bike rally|motorcycle rally|biker event|5|festival|motorcycle convention|motorcycle rally|bike festival,0.0
99875,Is the kid standing?,yes,one is|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
464339,What time it is?,5:30,daytime|afternoon|3:45|2:40|1:20|morning|1:24|2:20|1:20 pm|4:05,0.0
546642,How many lanes on the road?,2,4|5|4|4|4|4|5|4|5|5,0.0
285433,What is the black object?,toilet,toilet cover|toilet seat cover|seat cover|seat cover|toilet lid|toilet cover|toilet seat cover|lid cover|seat cover|toilet lid cover,0.0
401857,Is the batter batting right or left handed?,right,left handed|left|left|left|left|no|right|right handed|bat|left,0.3333333333333333
248953,Is this man stationary?,yes,no|yes|no|no|no|no|no|no|no|no,0.3333333333333333
399212,What color is the blanket?,blue,brown|gold|gold|gray|yellow|gold|gray|gold|gray|there is not blanket,0.0
154883,What season is it?,winter,winter|winter|winter|winter|winter|winter|winter|winter|winter|winter,1.0
446455,How many planes are there?,1,1|1|1|1|1|1|1|1|1|1,1.0
236161,Where is the picture?,outside,alley|firehouse|truck and house|outside|alleyway|in town|in country|london|driveway|driveway,0.3333333333333333
214966,Is this man playing right or left handed?,right,right|right|right|right|right|right|right|right|right|left,1.0
416523,What letter is above the man's head?,a,p|p|p|p|p|p|p|p|p|p,0.0
84493,How many slices are there?,1,5|5|5|4|5|4|5|5|5|5,0.0
575500,Are these plantains ripe?,yes,no|no|no|no|yes|no|no|no|no|no,0.3333333333333333
330897,What topping is the pizza?,pepperoni,"pepperoni and peppers|green peppers and pepperoni|pepperoni/green pepper|meat|pepperoni|green peppers, pepperoni, onion|pepperoni and peppers|sausage|pepperoni|pepperoni",1.0
526580,Is this man skateboarding?,yes,no|no|no|no|no|no|no|no|no|no,0.0
537506,How many fruits can be seen?,2,2|2|2|2|2|2|2|2|2|2,1.0
141597,What color is the car?,black,black|black|black|black|black|black|black|black|black|black,1.0
421131,Where are they going?,home,road trip|camping|nowhere|vacation|nowhere|england|nowhere|nowhere|nowhere|home,0.3333333333333333
480470,What is this person riding?,kite,sand|nothing|nothing|nothing|car|standing|skateboard|ground|none|kite,0.3333333333333333
506933,What is the man holding in his hand?,cell phone,cell phone|phone|phone|cell phone|phone|iphone|phone|phone|phone|cell phone,1.0
433984,Are his socks and shoes the same brand?,no,yes|yes|no|yes|yes|no|yes|yes|yes|yes,0.6666666666666666
55840,What are the cat's eyes doing?,closed,glowing|glowing|staring|staring|glowing|glowing|staring|glowing|glowing green|glowing,0.0
303718,What flavor is this cake?,chocolate,vanilla|vanilla|vanilla|vanilla|sweet|vanilla|vanilla|plain|vanilla|vanilla,0.0
331372,How many different kinds of flowers are in the vase?,2,4|1|2|4|2|2|4|1|1|3,1.0
111036,What kind of machine is it?,oven,oven|oven|oven|stove|cooker|oven|portable stove|oven|oven|stove and oven,1.0
161758,How many train tracks?,1,1|1|1|1|1|1|1|1|1|1,1.0
227428,What is under the dog's chin?,blanket,paw|blanket|arm|blanket|blanket|nothing|blanket|blanket|blanket|leg,1.0
350416,Can you see this guys underwear?,yes,no|no|no|no|no|no|no|no|no|no,0.0
209757,Is this a healthy pastime?,yes,yes|no|yes|yes|yes|yes|yes|no|yes|mostly,1.0
97230,Do the elephants appear to be the same age?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
1342,Is this vintage 1929?,yes,yes|in that era|yes|yes|no|yes|no|no|yes|yes,1.0
385438,What are these people playing with?,frisbee,frisbee|frisbee|frisbee|frisbee|frisbee|frisbee|frisbee|frisbee|frisbee|frisbee,1.0
468351,Are these animals striped or solid?,striped,striped|striped|striped|striped|striped|striped|striped|striped|striped|striped,1.0
44294,Is this an updated kitchen?,no,yes|yes|yes|yes|yes|yes|no|yes|no|no,1.0
268541,Could this be a sermon?,yes,no|no|no|no|no|no|no|no|no|no,0.0
396110,How many are wearing glasses?,1,3|2|2|3|3|3|3|2|3|2,0.0
358994,What color is the inside of the man's jacket?,blue,green|green|green|green|green|green|green|green|green|green,0.0
319696,What is this type of  oven called?,microwave,microwave|microwave|microwave oven|microwave|microwave|microwave|microwave|microwave|microwave|microwave,1.0
545268,What color is the girl's shirt?,blue,orange|orange|orange|orange|orange|orange|orange|orange|orange|orange,0.0
78495,Are these made out of metal?,yes,no|no|no|no|no|no|no|no|no|no,0.0
92212,Is it nighttime?,yes,no|no|no|no|no|no|no|no|no|no,0.0
573770,How many trees are visible?,2,50|10|25|many|100|25|20|17|30|30,0.0
441500,What games system does the remote go to?,nintendo,"no remote, toothbrush|no remote|wii|teeth|none|nothing|nintendo|nothing|none|none",0.3333333333333333
551550,What colors are the leaves?,green,green and purple|green|black|purple|green|black|gray|gray|green|green,1.0
2290,Is this a Longboat?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
422833,How many windows are there?,1,1|1|1|1|1|1|2|1|1|1,1.0
526004,What is the baby eating with his hands?,cheerful,pizza crust|pizza bread|pizza crust|pizza|pizza crust|yes|pizza|pizza crust|crust|pizza crust,0.0
157928,What outdoor sports do the men have equipment for?,skiing,skiing|skiing|skiing and ice fishing|skating|skiing|skiing|skiing|skiing|skiing|skiing,1.0
132375,What color are the flowers?,red,pink|pink|pink|pink|pink|pink|pink|pink|pink|pink,0.0
434735,What colors are the animals?,blue,"brown and tan|brown|brown and yellow|brown|brown, tan|brown and yellow|brown|orange brown|brown and tan|brown and tan",0.0
418109,What are the animals made of?,metal,metal|wood|metal|metal|metal|metal|iron|steal|metal|metal,1.0
143217,What is the number on the train?,1,5876|5675|8875|8875|8875|8875|3878|8875|8875|8875,0.0
969,What company made the boy's glove?,nike,unknown|unknown|rawlings|rawlings|wilson|wilson|spalding|wilson|sports company|spaulding,0.0
373289,Is this person wearing a watch?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
110881,How many bikes in this photo?,2,3|5|3|3|2|3|2|3|3|3,0.6666666666666666
400552,How many tools hanging from the fireplace?,1,2|2|2|2|2|2|2|3|3|3,0.0
143068,What color is the persons top?,white,white|beige|white|white|brown|gray|tan|black|brown|tan,1.0
296886,What kind of race is this?,horse,horse|horse race|horse|horse|horse|horse|horse race|horse|horse|horse,1.0
533805,Is this a puzzle?,yes,no|no|no|no|no|no|no|no|no|no,0.0
75560,What color is the sky?,blue,white|gray|white|white|gray|white|blue|white|gray|gray and white,0.3333333333333333
573134,Why is the horse completely off the ground?,water,jumping|jumping|jumping|prancing|running|trotting|running|jumping|he is running|jumping,0.0
379402,Is there a newspaper on the table?,yes,no|no|no|no|no|no|no|no|no|no,0.0
308849,Is the honey finished?,yes,no|no|no|yes|no|no|no|no|yes|no,0.6666666666666666
372258,What sport is being played here?,frisbee,frisbee|frisbee|frisbee|frisbee|ultimate frisbee|frisbee|frisbee|frisbee|frisbee|frisbee,1.0
136624,What meal is this?,breakfast,dinner|dinner|dinner|lunch|lunch|tacos and fries|fries and wraps|tacos and fries|tacos and fries|chicken,0.0
279716,Are the surfers young?,no,yes|yes|yes|yes|yes|no|yes|yes|yes|yes,0.3333333333333333
432647,What does the black and white sign say?,ha,right lane must|right lane must|right lane must|right lane must|right line must|right lane must|right lane must|right lane must|right lane must|right lane must,0.0
448983,How many people carriages do you see?,1,2|1|2|1|1|0|1|2|1|2,1.0
482589,Does the cat mistake the item with the handle for a ball of yarn?,yes,no|no|yes|maybe|yes|no|yes|no|no|no,1.0
199764,What is written on the white sign hanging from the string?,sale,fresh|fresh roasted peanuts|fresh peanuts|not sure|fresh roasted peanuts|fresh roasted peanuts|fresh roasted peanuts|fresh lemons|i'm not sure|hard to read,0.0
477671,What word is in blue?,halloween,halloween|halloween|99|halloween|halloween|halloween|halloween|halloween|halloween|halloween,1.0
55066,Is there a microwave?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
377314,How many engines are there?,2,2|2|2|2|2|2|1|2|2|2,1.0
344005,What can you see way in the back?,frisbee,houses|buildings|buildings|frisbee|building|buildings|buildings|buildings|buildings|condos,0.3333333333333333
321935,How many clocks?,1,2|2|1|2|2|2|2|2|1|2,0.6666666666666666
16897,How many individual photos are there?,2,6|6|5|6|5|6|6|6|6|6,0.0
137822,What do the orange objects do?,climb,mark spot|block traffic|stop runaway trains|barricade|they signal end of track|stop trains|caution people|barriers|stop trains|block things,0.0
157577,How many horses?,1,2|2|2|2|2|2|2|2|2|2,0.0
293002,What is written on the umbrella?,umbrella,nothing|nothing|flowers|in front of person|nothing|flowers|nothing|nothing|nothing|brand,0.0
53677,What type of industry does the man work for?,airplane,airline|airline|airline|aviator|airline|airline|airline|air|aviation|pilot,0.0
535312,Is this a home for sale?,yes,no|no|no|no|yes|no|yes|no|no|no,0.6666666666666666
207060,How many shadows does each object have?,1,1|2|2|2|2|2|2|1|2|1,1.0
501762,What is the man standing in?,ocean,sand|beach|beach|sand|sand|sand|sand|sand|sand|sand,0.0
538067,Is this a lake?,yes,no|no|no|no|no|no|no|no|no|no,0.0
38034,Is that a French press?,yes,no|no|no|no|no|no|no|no|no|no,0.0
499105,What is the girl holding?,tennis,tennis racket|tennis racket|tennis racket|tennis racket|tennis racket|tennis racket|tennis racket|tennis racket|tennis racket|tennis racket,0.0
473196,What time is on the clock?,a,6:50|5:50|6.50|10:30|10:30|5:50|10:30|5:45|10:30|5:50,0.0
396997,What color are the catcher's socks?,white,don't know|white|black|can't see|black|white|can't see them|white|not sure|white,1.0
503332,What color is the mans suite?,white,"red|red|red|red|red|red|red|red|red and blue|black, red",0.0
320951,What color is the trash can liner?,black,black|white|black|black|black|silver|white|white|black|brown,1.0
352422,What position is the toilet seat in?,upright,up|up|up|up|up|up|up|up|up|upright,0.3333333333333333
328607,What colors is the train?,blue,"silver, red, blue & yellow|red blue yellow and gray|yellow, red, silver and blue|red, blue, silver, and yellow|gray|silver, red , yellow & black|red, yellow, gray|silver blue yellow and red|orange, blue, gray, and yellow|blue",0.3333333333333333
322149,How many elephants are in the photo?,2,2|2|2|2|2|2|2|2|2|2,1.0
116096,What event is this?,surfboard,surfing|surfing|surfing|surfing|surfing competition|surfing|surfing|surfing|independence day|surfing,0.0
135042,What does the green sign say?,stop,old morgan school place|old morgan school place|old morgan school place|school zone|old morgan school place 2200|old morgan school place 2200|old morgan school place|old morgan school place 2200|old morgan school place|old morgan school place,0.0
294875,What are the animals standing on?,rocks,rock|dirt|rocks|rock|rock|trash|rocks|rock|rock|rock,0.6666666666666666
575079,Does this room look like it has been tidied up recently?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|yes,1.0
374734,Is this man touching the water?,yes,no|no|no|no|no|no|no|no|no|no,0.0
113082,Is that a refrigerator/freezer combo?,yes,yes|yes|yes|yes|yes|yes|yes|yes|yes|maybe,1.0
573882,How many people are wearing white?,1,3|4|2|6|4|3|3|5|4|4,0.0
185768,What magazine is this a photograph of?,itan,daily mirror|daily mirror|daily mirror|teddy bear|daily mirror|daily mirror|daily mirror|daily mirror|bungle busted|daily mirror,0.0
27585,What color is the clock face?,blue,white|white|white|white|white|white|black and white|white|white|white,0.0
90387,Is this a single engine aircraft?,yes,no|no|no|no|no|no|no|no|no|no,0.0
531798,What vegetable is on the far left?,broccoli,cucumber|cucumber|cucumber|zucchini|squash|cucumber|okra|cucumber|zucchini|cucumber,0.0
33854,How many different types of transportation?,2,3|5|3|2|3|3|3|3|3|3,0.3333333333333333
150117,Who is wearing eyeglasses?,man,black haired man in background|man at table behind man with camera|man in back on left|man at other table|man in background|no one|man in background|man|man in back|background man,0.3333333333333333
524822,What city is represented over the fireplace?,new york,paris|paris|paris|paris|paris|paris|paris|paris|paris|paris,0.0
364125,What color is the bigger umbrella?,blue,blue|blue|blue|blue|purple|blue|purple|purple|blue|blue,1.0
99543,What is the shape of the dog's collar tag?,triangle,bone|dog bone|bone|bone|dog bone|bone|dog bone|bone|dog bone toy|bone,0.0
422700,Are the people at a restaurant?,yes,no|no|no|no|no|no|no|no|no|no,0.0
335844,Is the door shut?,yes,yes|no|yes|yes|yes|yes|yes|yes|yes|yes,1.0
331329,How many stripes does the zebra have?,2,lot|can't determine|45|60|many|78|100|lot|many|45,0.0
